,Date.Disclosed,Project.Name,Project.Number,IFC.Country.Code,Sector,Environmental.Category,Status,Projected.Board.Date,investmen_Loan,investment_approved,year
1,4/4/16,Karaca Hydro,37872,TUR,Large Hydro - Renewable Energy Generation,B,Active,5/6/16,47,47,2016
2,3/17/16,Envision,36094,CHA,Wind Turbine Machinery,B,Pending Disbursement,4/18/16,50,50,2016
3,2/5/16,OAWPL and OAPWPL,37086,IND,Wind Power - Renewable Energy Generation,B,Pending Disbursement,3/10/16,60.4,60.4,2016
4,2/4/16,Canadian Solar,36142,WLD,Solar Photovoltaic Equipment,B,Active,11/20/15,40,60,2015
5,1/14/16,FRV Solar Jordan,36877,JOR,Solar - Renewable Energy Generation,B,Pending Disbursement,2/15/16,27.5,29.5,2016
6,11/4/15,Azure Karnataka,36716,IND,Solar - Renewable Energy Generation,B,Pending Signing,12/4/15,29.9,29.9,2015
7,9/16/15,KTDA Small Hydro,36402,KEN,Small Hydro (,B,Pending Disbursement,10/20/15,12.5,12.5,2015
8,8/20/15,Karot Hydro,36008,PAK,Large Hydro - Renewable Energy Generation,A,Pending Signing,10/22/15,100,100,2015
9,11/18/14,"Energí_a Cinco Estrellas, S.A. de C.V.",35364,HDS,Solar - Renewable Energy Generation,B,Active,1/8/15,25,26.35,2015
10,11/12/14,Gul Ahmed Wind Limited,35088,PAK,Wind Power - Renewable Energy Generation,B,Active,12/15/14,11.7,15,2014
11,10/6/14,Green Infra Wind,35415,IND,Wind Power - Renewable Energy Generation,B,Active,11/10/14,59.1,59.1,2014
12,9/26/14,Gulpur Hydro,32874,PAK,Large Hydro - Renewable Energy Generation,A,Active,12/3/14,60,60,2014
13,9/24/14,Valle Solar PV,35080,HDS,Solar - Renewable Energy Generation,B,Active,10/27/14,30,30.75,2014
14,9/19/14,Acme Solar NSM,35187,IND,Solar - Renewable Energy Generation,B,Active,5/24/14,0,0,2014
15,8/28/14,Azure Clean,35058,IND,Solar - Renewable Energy Generation,B,Active,9/30/14,13.94,13.94,2014
16,8/15/14,Pacifico Solar,34975,HDS,Solar - Renewable Energy Generation,B,Active,9/15/14,46,46,2014
17,8/11/14,Thomas Lloyd RE,34754,PHL,Renewable Energy Holding Companies,B,Hold,9/11/14,104.7,104.7,2014
18,8/1/14,Jordan Solar One,35479,JOR,Solar - Renewable Energy Generation,B,Active,9/5/14,22.5,22.5,2014
19,7/7/14,Arabia One Solar,35474,JOR,Solar - Renewable Energy Generation,B,Active,8/8/14,11.8,11.8,2014
20,7/3/14,Adenium Jordan-1,35467,JOR,Solar - Renewable Energy Generation,B,Active,8/8/14,41.2,41.2,2014
21,7/3/14,Falcon PV,35483,JOR,Solar - Renewable Energy Generation,B,Active,8/8/14,13.1,13.1,2014
22,7/3/14,Shamsuna PV,35460,JOR,Solar - Renewable Energy Generation,B,Active,8/8/14,9.85,9.85,2014
23,6/27/14,BMR Wind,35081,JAM,Wind Power - Renewable Energy Generation,B,Active,7/29/14,10,10,2014
24,6/27/14,Penonome Wind,34810,PAN,Wind Power - Renewable Energy Generation,B,Active,7/31/14,66,89,2014
25,5/13/14,Luz del Norte,34405,CHL,Solar - Renewable Energy Generation,B,Active,6/16/14,60,60,2014
26,3/28/14,OffGrid Electric,34292,TAN,Solar Photovoltaic Equipment,C,Active,4/30/14,3.38,3.38,2014
27,3/14/14,DJEPL and UUPPL,34565,IND,Wind Power - Renewable Energy Generation,B,Active,4/28/14,50.03,50.03,2014
28,2/10/14,Vorotan Hydros,33450,ARM,Large Hydro - Renewable Energy Generation,B,Active,3/18/14,16.66,23.8,2014
29,1/31/14,Rudine WPP,34079,HRV,Wind Power - Renewable Energy Generation,B,Active,3/14/14,27.22,27.22,2014
30,12/13/13,NSL Vaspet (40 MW wind),34506,IND,Wind Power - Renewable Energy Generation,B,Pending Disbursement,1/15/14,15.01,15.01,2014
31,11/27/13,ACWA Power Ouarzazate,32334,MYC,Solar - Renewable Energy Generation,A,Pending Disbursement,1/29/14,9.75,10.01,2014
32,10/18/13,Kabeli,30977,NEP,Large Hydro - Renewable Energy Generation,A,Hold,12/23/13,19.3,19.3,2013
33,10/10/13,Enel Wind Brazil,33579,BRA,Wind Power - Renewable Energy Generation,A,Active,12/12/13,200,200,2013
34,10/3/13,Adjaristsqali Georgia LLC,33435,GEO,Large Hydro - Renewable Energy Generation,A,Active,12/4/13,71,105,2013
35,8/22/13,Metro Power Company Limited,33496,PAK,Wind Power - Renewable Energy Generation,B,Active,9/27/13,22.5,25.76,2013
36,7/29/13,Alto Maipo,31632,CHL,Large Hydro - Renewable Energy Generation,A,Active,9/30/13,150,150,2013
37,5/21/13,La Huayca II,33192,CHL,Solar - Renewable Energy Generation,B,Active,6/28/13,14.3,14.3,2013
38,5/20/13,SunEdison CAP,33191,CHL,Solar - Renewable Energy Generation,B,Active,6/20/13,65,65,2013
39,5/17/13,SunEdison Merchant,33456,CHL,Solar - Renewable Energy Generation,B,Active,6/18/13,38,38,2013
40,4/29/13,Kurum International SH.A.,33378,ALB,Large Hydro - Renewable Energy Generation,B,Active,5/31/13,44.91,44.91,2013
41,4/24/13,Jelinak,32218,HRV,Wind Power - Renewable Energy Generation,B,Active,5/24/13,24.85,24.85,2013
42,4/24/13,Alibunar WPP,32752,SRB,Wind Power - Renewable Energy Generation,B,Pending Signing,5/27/13,25.5,25.5,2013
43,4/17/13,ACME Energy,32497,IND,Solar - Renewable Energy Generation,B,Active,5/24/13,50,50,2013
44,3/7/13,Zhaoheng Hydropower Holdings Ltd.,30266,CHA,Large Hydro - Renewable Energy Generation,A,Completed,5/9/13,50,75,2013
45,2/8/13,Aura Solar,32871,MXC,Solar - Renewable Energy Generation,B,Completed,3/11/13,25,25,2013
